CELL_ID,IntakeID,Year,Class,ClassOrder,Infection,InfectionType,x,y,PC_Urban,4_zones,PC_Natural,pdSTD,orderLCBD,InfectionLCBD,H-PLCBD,HHLCBD
143498,20104084,2010,Mammalian,Large Carnivores,Sacrpotic Mites,Ecoparasitic,-79.68030319,43.45477522,0.160811428,1,0.301482316,344.6049111,0.3104016,0.03102561,0.3304349,0.34363551
143500,20070151,2007,Avian,Waterfowl and Waders,Lice,Ectoparasitic,-79.65531253,43.45330769,-0.212369771,1,-0.544955985,85.21273924,0.3104016,0.03102561,0.3304349,0.34363551
144156,20092540,2009,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.96750909,43.47695792,-0.483064767,1,0.301482316,26.86184126,0.3104016,0.03102561,0.3304349,0.34363551
144174,20073194,2007,Avian,Songbirds,Strongyles,Nematode,-79.74508035,43.46484118,-0.571308735,1,0.301482316,201.2072721,0.3104016,0.03102561,0.3304349,0.34363551
144177,20090264,2009,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.71158153,43.46657515,0.143073759,1,-0.1494347,344.3020848,0.3104016,0.03102561,0.3304349,0.34363551
144180,20102234,2010,Mammalian,Large Carnivores,Sacrpotic Mites,Ecoparasitic,-79.67285241,43.46427545,0.169168135,1,0.301482316,121.0210249,0.3104016,0.03102561,0.3304349,0.34363551
144836,20120160,2012,Mammalian,Bats,White Nose Syndrome,Fungal,-79.99208532,43.49405888,-0.366830218,1,0.301482316,2.710040721,0.3104016,0.03102561,0.3304349,0.34363551
144837,20120153,2012,Mammalian,Bats,White Nose Syndrome,Fungal,-79.98783394,43.49117039,-0.126377117,1,0.301482316,23.86216487,0.3104016,0.03102561,0.3304349,0.34363551
144841,20075132,2007,Mammalian,Large Rodents,Sacrpotic Mites,Ecoparasitic,-79.93251391,43.48682838,-0.563615663,1,-0.338267074,1.326707966,0.3104016,0.03102561,0.3304349,0.34363551
144863,20070201,2007,Mammalian,Small Rodents and Moles,Squirrel Pox,Viral,-79.66691486,43.47043578,0.058547011,1,0.301482316,233.6774706,0.3104016,0.03102561,0.3304349,0.34363551
145499,20114274,2011,Mammalian,Large Rodents,Sacrpotic Mites,Ecoparasitic,-80.2282367,43.51040743,-0.011578285,1,0.301482316,327.8636211,0.3104016,0.03102561,0.3304349,0.34363551
145542,20075443,2007,Avian,Pigeons and Doves,Trichonomiasis,Protozoan,-79.6942573,43.4815905,0.101991806,1,0.301482316,405.5354081,0.3104016,0.03102561,0.3304349,0.34363551
